Name,Team,PA,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Evan Carter","TEX",162,93.5511228279148,,89.93589743589743,85.3756073742378,,92.7517635569853,83.42068797144397,78.62449178890306,81.15333658854166,,84.77625122070313,,,"Evan Carter",27790,694497
"Ezequiel Duran","TEX",285,93.86635220125787,,88.03818359375,86.04706169577206,,93.386092078877,83.97789199561403,77.51521632982337,78.55000305175781,,84.03488372093024,,,"Ezequiel Duran",23733,677649
"Ezequiel Tovar","COL",695,94.31076176650367,,88.90044202302632,85.72045343572444,,93.00296917115902,84.36450496720678,79.17839747299382,82.0048768578506,,85.34368318256578,,75.59286063058036,"Ezequiel Tovar",24064,678662
"Fernando Tatis Jr.","SDP",438,93.77760358924613,,88.61327260785399,86.13749694824219,82.94000244140625,93.89371651785714,84.94011142061281,79.21756888724663,80.08928571428571,,84.75970941996403,,,"Fernando Tatis Jr.",19709,665487
"Francisco Alvarez","NYM",342,94.6472715435606,,89.099116772677,85.66499633789063,,93.96546341616465,85.23216321790541,80.71979907951733,82.41363525390625,,84.87475348907768,,76.16666666666667,"Francisco Alvarez",26121,682626
"Francisco Lindor","NYM",689,94.19738904212637,,89.62478298611111,86.13437906901042,,93.18115942028986,85.0496468823185,79.06176142331933,82.93061423788265,38.849998474121094,86.0703125,,75.9,"Francisco Lindor",12916,596019
"Freddie Freeman","LAD",638,94.57836787564767,,90.26283358683628,87.69873664952532,84.25,93.35863372867804,84.27452256944444,79.78050068789308,81.4608685037364,,86.24708658854166,,76.43332926432292,"Freddie Freeman",5361,518692
"Freddy Fermin","KCR",368,93.81687598892405,,89.43801652892562,86.17142857142858,,93.28273249246988,84.65299684542586,79.36236244119624,81.6368408203125,47.900001525878906,84.17419039818549,,60.20000076293945,"Freddy Fermin",21840,666023
"Gabriel Arias","CLE",161,93.369873046875,,89.86666791866988,86.38333129882812,,93.41358844053399,83.4699410675578,80.33243375211148,84.9199951171875,,83.9016982256356,,,"Gabriel Arias",22563,672356
"Gabriel Moreno","ARI",351,93.90529531568228,,89.07373540088383,87.06786237444196,82.75,93.4340046379683,84.88241849783861,79.8093359375,82.01538711939102,47.20000076293945,84.58415841584159,,78.39999389648438,"Gabriel Moreno",22664,672515
"Garrett Cooper","- - -",116,94.39852725758271,,90.08912725033967,87.08999938964844,,93.53107844172297,83.896240234375,81.97058464499081,80.42499923706055,,85.86333414713542,,,"Garrett Cooper",15279,643265
"Garrett Hampson","KCR",231,93.88516971982759,,89.97432564400337,85.6842105263158,,93.62641877948113,84.60407239819004,78.54328212453358,80.63333333333334,,83.95384400755495,,,"Garrett Hampson",19262,641658
