Name,Team,PA,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Ke'Bryan Hayes","PIT",396,-1.9462204173624365,,0.9402583729137074,-5.422787802559989,,-4.8031122116815474,3.107008493289001,1.8510993823670505,1.063410106458162,,5.042301918143656,,,"Ke'Bryan Hayes",18577,663647
"Jared Walsh","TEX",60,-5.4191195401278405,,1.48704699466103,-9.537596130371094,,-0.798344339643206,2.585996389389038,7.53590562608507,0.34137109347752165,,-8.734290544376817,,,"Jared Walsh",18607,665120
"Ramón Urías","BAL",301,-1.2414627932430653,,1.1648328732221553,-6.4288482666015625,,-4.0516383844020565,2.5923243931361606,1.8992056119239937,4.200404357910156,-1.963456153869629,1.1621250636141065,,,"Ramon Urias",18795,602104
"Andy Ibáñez","DET",244,2.0522003173828125,,0.01111989950432497,-1.6769202550252278,,1.572014830166236,0.526418150140998,-1.4068065277517658,-0.22808198928833007,-3.0667686462402344,4.36003978832348,-4.158959865570068,,"Andy Ibanez",18819,628451
"José Azocar","SDP",79,1.7013531546307425,,-0.03144316002726555,2.5581576824188232,6.538076877593994,-2.9099220275878905,0.8847793810295336,-1.05173213665302,0.046347081661224365,,7.693804572610294,,,"Jose Azocar",18821,640492
"Danny Mendick","CHW",141,-1.3632563540810032,,0.06943224846048558,-6.918178558349609,,-3.5491336684629142,0.5263988688840704,1.6942703247070312,-1.194930076599121,,2.3412091804273203,,,"Danny Mendick",18889,664901
"Leody Taveras","TEX",529,-2.8096340937953554,,0.7518807358629122,-7.198964548634959,,-4.587517352143595,2.3690673828125,3.980791464619253,3.0502656936645507,,-4.810807542067308,,,"Leody Taveras",18900,665750
"Estevan Florial","CLE",111,-4.275401990167026,,0.9533908113520196,-7.673247443305121,,-3.5148641652074355,4.1385009765625,4.260318211146763,2.7366081686580883,,-8.511978364326584,,,"Estevan Florial",19151,664314
"Yuli Gurriel","KCR",65,-0.7644248663210401,,-0.37937217950820923,0.1447169964130108,,-5.248354972677028,0.9739912350972494,1.9799288511276245,1.570317268371582,,6.342164993286133,,,"Yuli Gurriel",19198,493329
"Garrett Hampson","KCR",231,1.4073589456492457,,-0.005941084913305334,-2.1248363695646586,,-0.2847774073762714,0.5231179284833675,-0.8425571384714611,-1.3988412221272786,,5.879999517084478,,,"Garrett Hampson",19262,641658
