Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Jose A. Ferrer","WSN",32,104.47493670886074,120.03221428571425,,,144.82923076923078,,111.11780219780219,,,116.98953586497892,101.99704641350212,117.034388185654,"Jose A. Ferrer",24017,678606
"Stephen Kolek","SDP",46.2,101.65542857142857,109.87726984126985,100.3532,,107.695421686747,,101.80109090909089,,,106.01283887468026,111.5278260869565,116.874705882353,"Stephen Kolek",21487,663568
"Tanner Scott","- - -",72,114.71958038617701,,,,125.36505369978859,,,,,119.0311375395519,100.83854564145247,116.84873255281495,"Tanner Scott",17586,656945
"Tony Santillan","CIN",30,97.13519736842105,,,,117.31179487179485,,88.64000000000001,,,104.8979195932119,112.52008053080887,115.79919758572936,"Tony Santillan",19926,663574
"Tyson Miller","- - -",62,103.80449130261583,85.148125,,,121.24249894612596,130.01466666666667,71.85714285714286,,,110.97450943261475,106.42290186663858,115.5083136480502,"Tyson Miller",19976,668338
"Paul Skenes","PIT",133,105.23621103117507,99.78915422885571,,,136.29322674418606,111.32313043478263,103.85596491228068,,,109.74353440150806,109.83695570216776,115.2012441093308,"Paul Skenes",33677,694973
"Evan Phillips","LAD",54.2,111.00475903614463,101.97282608695652,97.60676691729324,,121.41953890489913,,,,,112.11008888888884,103.03977777777779,115.19828888888891,"Evan Phillips",17734,623465
"Caleb Thielbar","MIN",47.1,102.59873350923482,,,,123.1119863013699,116.32046082949306,,,,112.65501738122832,107.19499420625718,115.14389339513326,"Caleb Thielbar",10078,573204
"Aroldis Chapman","PIT",61.2,96.26621761658029,143.35513157894735,,128.30607407407413,114.81433333333332,,,,,117.75322094055014,103.38951197870458,115.10631765749774,"Aroldis Chapman",10233,547973
"Chris Roycroft","STL",34.1,96.92455958549222,118.63352517985612,,,114.13440000000003,,,,,110.5775170068027,107.23418367346937,115.09561224489798,"Chris Roycroft",31261,688297
